Time,Hand:x,Hand:y,Hand:z
70.904,134.87944,186.2178,213.49319
71.321,219.87465,232.32486,180.99918
71.738,289.51782,269.25748,118.89167
72.155,306.23074,266.85919,116.34737
72.573,308.79272,266.24564,115.89445
72.99,276.09824,260.36606,168.55997
73.407,309.96829,390.89087,109.27613
73.824,231.81517,316.01373,284.61478
74.241,265.90585,322.64157,182.02602
74.658,315.72562,336.02744,148.95598
75.075,326.45148,338.26541,142.74913
75.492,325.47617,336.84241,140.61139
75.909,322.63409,329.27988,144.04706
76.326,321.23212,329.03006,141.25192
76.743,321.80301,332.35663,137.76805
77.16,322.47131,331.7493,135.33905
77.577,301.1897,321.27426,143.04698
77.995,292.67545,320.00653,152.13664
78.412,292.28659,320.75809,147.92763
78.829,297.62341,322.15817,141.49995
79.246,295.55307,322.26279,137.32327
79.663,293.64398,323.77463,138.28522
80.08,299.89349,330.49051,137.54019
80.497,302.95877,332.77771,144.87364
80.914,316.99545,344.67462,122.19595
81.331,319.28671,347.74008,106.44379
81.748,322.83533,350.9743,95.82213
82.165,328.21387,354.43164,88.5778
82.582,329.29663,354.26526,81.2821
83.0,330.94138,351.7319,77.93465
83.417,332.30005,350.7623,75.74998
83.834,325.03528,343.46356,87.58398
84.251,319.45996,342.84579,91.28187
84.668,319.99097,341.85889,89.88567
85.085,322.31903,343.52359,87.52628
85.502,321.88385,341.55066,87.30014
85.919,295.67926,307.35342,131.21881
86.336,205.63931,242.20181,231.68298
86.753,242.91025,289.81967,174.35938
87.17,262.6788,309.90536,172.90155
87.588,298.42395,318.93234,151.63428
88.005,305.83871,353.42999,121.0527
88.422,323.52103,369.92737,64.91743
88.839,325.60175,367.2821,60.17612
89.256,321.74622,363.4899,67.33164
89.673,241.41272,230.40201,211.77283
90.09,186.34145,195.56906,360.06815
90.507,170.88921,215.93977,269.1937
90.924,130.62666,150.80568,351.23224
91.341,166.68295,165.50143,331.3681
91.758,267.62573,262.49283,142.57504
92.175,309.80307,301.90067,108.71559
92.592,323.86035,309.38736,99.05871
93.01,324.72943,310.03336,96.25097
93.427,322.98196,310.15811,95.51143
93.844,320.82031,308.35806,94.18887
94.261,321.51755,308.10135,93.93758
