6.395696481176005310e-01,5.841001369716887215e-01,4.730672521744512804e-01
6.814696706860808861e-01,6.613811405033387381e-01,5.215988505908588646e-01
7.380455148295888002e-01,7.078141633039790603e-01,5.831804382354590643e-01
7.484008330972728995e-01,7.249584027610421755e-01,6.122599559372146061e-01
7.718633351889437888e-01,7.304080084179839227e-01,6.261121871906838443e-01
7.800885989195459613e-01,7.379573519232839329e-01,6.310613283119961281e-01
7.902260721681645395e-01,7.455585300823466266e-01,6.415320734707240513e-01
7.929809707143045117e-01,7.519060299696141980e-01,6.449788789262262956e-01
7.954286523598611547e-01,7.589102015592951167e-01,6.552311524573515289e-01
8.001147902284641011e-01,7.607132812776506992e-01,6.584592832225932835e-01
8.004500357979249525e-01,7.646060824693216018e-01,6.594693658675451209e-01
7.998630840797813502e-01,7.661135412894859442e-01,6.650428699705864810e-01
8.007228550236271669e-01,7.669063802408094821e-01,6.707402733507532577e-01
8.050487244182032986e-01,7.665451918960933808e-01,6.737306125815269997e-01
8.044913972346025011e-01,7.673286871617401861e-01,6.763551730510238835e-01
8.062845575702991541e-01,7.689569148195426473e-01,6.806224802961075016e-01
8.062217255990871134e-01,7.687406982665814237e-01,6.801412145131724429e-01
8.077322894967243760e-01,7.711698064159616672e-01,6.810699210932487091e-01
8.089781177881031349e-01,7.713251149922359939e-01,6.825263124335715359e-01
8.108823472425915613e-01,7.723110064100540129e-01,6.852452631121619397e-01
8.129947759685612896e-01,7.734223038586290899e-01,6.853776208935218328e-01
8.146883288441629789e-01,7.734749327708418942e-01,6.864950099882894952e-01
8.162648041506650465e-01,7.736524060767638877e-01,6.884282499017748691e-01
8.173322535921551113e-01,7.749657873450190859e-01,6.897173020427855850e-01
8.176681453781002862e-01,7.756277877529610398e-01,6.890866399223808392e-01
8.177888677247768801e-01,7.764304879730691278e-01,6.893865021123400938e-01
8.183246346144722461e-01,7.768973319047360881e-01,6.902500017880925931e-01
8.188781138754454014e-01,7.767100214282351978e-01,6.899489227417192616e-01
8.193366871806192497e-01,7.769291628535405225e-01,6.907395581313501287e-01
8.192393478475562540e-01,7.767029876606379446e-01,6.917385352375243768e-01
